dia,pvs_totales,pvs_totales_usa,pvs_totales_mexico,pvs_ole_usa,pvs_ole_no_usa,notas_unicas,notas_unicas_usa,porc_notas_unicas_usa,browsers_unicos,browsers_unicos_arg,browsers_unicos_mex,browsers_unicos_usa,browsers_unicos_otros
2024-01-06 00:00:00,56827,45469,11358,0,56827,1763,0,0,18865,1018,3882,13537,428
2024-01-07 00:00:00,64115,51461,12654,0,64115,1825,0,0,21114,1048,4506,15142,418
2024-01-08 00:00:00,74702,58573,16129,0,74702,1816,0,0,23145,1234,5639,15818,454
2024-01-09 00:00:00,71124,56512,14612,3,71121,1836,1,0,21970,1189,4995,15361,425
2024-01-10 00:00:00,72013,57174,14839,0,72013,1622,0,0,20283,963,4482,14474,364
2024-01-11 00:00:00,69188,55080,14108,1,69187,1588,1,0,20325,999,4424,14532,370
2024-01-12 00:00:00,65016,52092,12924,322,64694,1576,2,0,19008,930,4241,13471,366
2024-01-13 00:00:00,72443,55364,17079,3080,69363,1613,1,0,27075,891,8990,16812,382
2024-01-14 00:00:00,76336,59834,16502,2424,73912,1702,1,0,28571,859,7645,19637,430
2024-01-15 00:00:00,84372,63327,21045,209,84163,1585,2,0,28469,1050,9039,17937,443
2024-01-16 00:00:00,85364,65209,20155,81,85283,1779,1,0,28813,1097,8637,18596,483
2024-01-17 00:00:00,80343,60880,19463,18,80325,1757,1,0,27486,1127,7989,17881,489
2024-01-18 00:00:00,87579,64557,23022,12,87567,1926,1,0,31153,1185,10421,19071,476
2024-01-19 00:00:00,93286,75755,17531,6,93280,1997,1,0,36985,1156,7046,28297,486
2024-01-20 00:00:00,87724,70435,17289,0,87724,1972,0,0,33479,1223,7369,24291,596
2024-01-21 00:00:00,84183,66991,17192,1,84182,2053,1,0,32144,1221,7512,22790,621
2024-01-22 00:00:00,86546,67117,19429,9,86537,1968,1,0,30392,1252,7224,21396,520
2024-01-23 00:00:00,82077,64357,17720,0,82077,1977,0,0,28709,1301,6246,20637,525
2024-01-24 00:00:00,85995,66370,19625,8,85987,1955,1,0,29598,1255,8439,19375,529
2024-01-25 00:00:00,82480,66376,16104,4,82476,2107,1,0,28014,1236,5622,20670,486
2024-01-26 00:00:00,86010,69346,16664,2,86008,2199,1,0,27997,1385,5747,20322,543
2024-01-27 00:00:00,87696,70343,17353,1,87695,1996,1,0,30219,1334,6217,22070,598
2024-01-28 00:00:00,100240,80818,19422,0,100240,2240,0,0,37162,1509,8009,26929,715
